Station	Cruise	Year	Latitude	Longitude	Depth (m)	Temp (C)	Salinity	NH4 (mmol/m3)	NO2+NO3 (mmol/m3)	PO4 (mmol/m3)	H4SiO4 (mmol/m3)	SiltyClay (phi>5)	TOC (mg/g)	TN (mg/g)	CN 	Chla (mg/m2)	DIN:P
DBO1.8	DBO	2014	63.03	-173.46	71	-1.56	32.45	4.07	15.21	2.04	40.93	91.44	15.5	2.7	5.8	17.63	7.46
DBO1.6	DBO	2014	62.56	-173.549	65	-1.47	32.11	3.75	12.93	1.71	44.13	74.75	10.7	1.7	6.18	19.29	7.56
DBO2.5	DBO	2014	64.991	-169.141	48	1.67	32.72	1.15	17.64	1.71	29.89	23.48	4.7	0.7	6.47	16.88	10.32
DBO2.2	DBO	2014	64.682	-169.1	45	1.48	32.69	1.09	17.21	1.49	26.69	6.08	1.8	0.3	6.8	14.45	11.55
DBO2.4	DBO	2014	64.96	-169.891	49	2.21	32.66	1.3	23.29	1.63	33.81	21.52	3.3	0.5	6.86	19.19	14.29
UTN1	DBO	2014	66.712	-168.399	35	3.15	32.01	0.54	3.01	0.63	1.78	83.69	10.9	1.5	7.25	32.63	4.78
UTN3	DBO	2014	67.33	-168.909	50	2.27	32.53	1.38	7.57	1.26	3.2	70.75	8.5	1.2	6.82	22.5	6.01
UTN4	DBO	2014	67.501	-168.904	50	1.82	32.45	2.04	13.86	1.67	7.12	86.05	10.3	1.7	6.11	18.34	8.3
UTN6	DBO	2014	67.741	-168.44	50	2.1	32.39	2.2	11.07	1.43	2.85	97.98	11.8	1.9	6.07	29.22	7.74
UTN7	DBO	2014	68	-168.931	57	2.02	32.6	3.08	12.71	1.46	3.91	94.14	13.7	2.2	6.1	20.29	8.71
UTN2	DBO	2014	67.05	-168.729	47	2.44	32.54	0.54	10.07	1.05	4.98	81.37	7.4	1.1	6.85	28.6	9.59
